1070	NEWPORT County AFC’s chances of unearthing future first team stars has been handed a significant boost with the status of the club’s academy receiving an upgrade.
1071	"IT SEEMS very un- Saintslike, almost unnatural, to go into the last day of the season with nothing to play for."
1072	"DOES knowledge always come with a price? That’s perhaps one of the questions that we should ask ourselves, as Christopher Marlowe’s classic play Dr Faustus is performed at Titchfield Festival Theatre from Wednesday."
1073	"With the city council in the process of buying the freehold of Stonebow House, there is talk it could be redeveloped. But how likely is that – and, if it is, what should be put in its place? STEPHEN LEWIS reports."
1074	LUKE Phillips’s pivotal strike earned Hayward Saturday Premier Division heavyweights Hamworthy Recreation a place in the last four of the MA Hart Pickford Cup.
1075	JOHN Snape’s Worcester City future is unlikely to be rubber stamped until the summer but the boss has declared: “We will have to be patient next season.”
1076	BLENHEIM Palace and Wallingford Food Festival are among tourist attractions across Oxfordshire which have been shortlisted for a prestigious award.
1077	"PAUL RICHARD FLAWN, aged 50 and of Holdenhurst Road, Bournemouth, admits failing to surrender to custody on July 30. Fined £25, to pay a £30 surcharge."
1078	"Miranda Sykes, the acclaimed singer and bassist with ‘Show of Hands’ returns in 2019 with a new album and UK tour."
1079	THE artist behind Southampton’s giant illuminated Spitfire towering 160ft into the city skyline has welcomed the public debate on the issue.
1080	STILETTOS are being swapped for hiking books as two York women prepare for a charity trek up Kilimanjaro.
1081	"Oxford broadcasting legend and the man behind Headington's Shark House, Bill Heine continues his account of his ongoing battle with leukaemia"
1082	"Bristol based multi-instrumentalist producer and visual artist She Makes War has released her new single ‘Devastate Me’, taken from her upcoming album Brace For Impact."
1083	"This Sunday, Aug. 19, brunch seekers will have two new options to flock to for the delightful, acceptably boozy daytime meal that is often saved for the weekends."
1084	"FOR anyone who has sat through the endearing ordeal that is a primary school nativity play, you’ll be well aware of the organised chaos they can be."
1085	WOMEN of childbearing age diagnosed with cancer can have their fertility preserved through a pioneering procedure offered by specialists in Southampton.
1086	"A NEW media centre offering inspiration, motivation and learning for businesses in Worcestershire has opened in the city."
1087	A SUPERB 146-run stand between Muhammad Ayub and Fergus Nutt steered Oxford to a three-wicket win at home to champions Henley in the Home Counties Premier League.
1088	JON Meades struck against his former side as Oxford United stayed in the relegation battle in Sky Bet League One with a defeat at AFC Wimbledon.
1089	"THE future generations commissioner for Wales, Sophie Howe, has called on the Welsh Government to be more ambitious with its investment in transport."
1090	Veteran children’s author Judith Kerr has warned adults who stare at their devices risk missing out on interesting events.
1091	POOLE sailor Pip Hare is in training to take on one of the most extreme sporting events on the planet.
1092	"THE day he was shot dead in New York, John Lennon found time to phone his Aunt Mimi in Sandbanks to discuss his plans to visit her."
1093	"A BURGLAR who loaded jewellery and computer equipment into pillowcases and plastic bags during a raid at a Poole home has told a judge: ""Without abstinence, I can't see a future for myself."""
1094	"MORE than 11,000 complaints were made to the broadcasting watchdog about Roxanne Pallett's behaviour in an episode of Celebrity Big Brother."
1095	"GAVIN Foxall is considering his position as chairman of operations at Newport County AFC, according to fellow director Neil Collier."
1096	"A MAN who vanished ten years ago may have been dumped at sea or buried, an inquest has ruled."
1097	"TODAY Tuesday 6th November should be a red-letter day for cycling in Oxford and Oxfordshire. Two motions are being discussed at Oxfordshire County Council’s full council, both of which are about cycling and active travel."
1098	EX-STRICTLY star Brendan Cole is quick-stepping back to Dorset next month with what he calls his “most theatrical live production yet”.
1099	SKIPPER Jonny Cater will miss the start of Oxfordshire’s Unicorns Counties T20 campaign because he is attending the christening of his child.
